method,sample_id,split,dataset,budget,dense_correct,dense_reliant,eligible_interventions,answer_fidelity,intervention_pass,intervention_answer_fidelity,legacy_flip_safe,reference_safe,combined_gold_safe,safety_pattern_64_128_256_432,minimum_observed_safe_budget,monotonic
fastv,mmstar_000009,test,mmstar,64,False,True,gray|irrelevant,False,True,True,False,False,,0111,128,True
fastv,mmstar_000009,test,mmstar,128,False,True,gray|irrelevant,True,True,True,True,True,,0111,128,True
fastv,mmstar_000009,test,mmstar,256,False,True,gray|irrelevant,True,True,True,True,True,,0111,128,True
fastv,mmstar_000009,test,mmstar,432,False,True,gray|irrelevant,True,True,True,True,True,,0111,128,True
fastv,mmstar_000013,test,mmstar,64,True,True,gray|irrelevant,False,False,False,False,False,False,0000,full,True
fastv,mmstar_000013,test,mmstar,128,True,True,gray|irrelevant,False,True,True,False,False,False,0000,full,True
fastv,mmstar_000013,test,mmstar,256,True,True,gray|irrelevant,False,True,True,False,False,False,0000,full,True
fastv,mmstar_000013,test,mmstar,432,True,True,gray|irrelevant,False,True,True,False,False,False,0000,full,True
fastv,mmstar_000016,test,mmstar,64,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000016,test,mmstar,128,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000016,test,mmstar,256,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000016,test,mmstar,432,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000018,validation,mmstar,64,True,True,gray|irrelevant,True,True,True,True,True,True,1001,64,False
fastv,mmstar_000018,validation,mmstar,128,True,True,gray|irrelevant,True,False,False,False,False,False,1001,64,False
fastv,mmstar_000018,validation,mmstar,256,True,True,gray|irrelevant,True,False,False,False,False,False,1001,64,False
fastv,mmstar_000018,validation,mmstar,432,True,True,gray|irrelevant,True,True,True,True,True,True,1001,64,False
fastv,mmstar_000019,test,mmstar,64,False,True,irrelevant,True,False,False,False,False,,0111,128,True
fastv,mmstar_000019,test,mmstar,128,False,True,irrelevant,True,True,True,True,True,,0111,128,True
fastv,mmstar_000019,test,mmstar,256,False,True,irrelevant,True,True,True,True,True,,0111,128,True
fastv,mmstar_000019,test,mmstar,432,False,True,irrelevant,True,True,True,True,True,,0111,128,True
fastv,mmstar_000021,validation,mmstar,64,False,True,irrelevant,True,True,True,True,True,,1111,64,True
fastv,mmstar_000021,validation,mmstar,128,False,True,irrelevant,True,True,True,True,True,,1111,64,True
fastv,mmstar_000021,validation,mmstar,256,False,True,irrelevant,True,True,True,True,True,,1111,64,True
fastv,mmstar_000021,validation,mmstar,432,False,True,irrelevant,True,True,True,True,True,,1111,64,True
fastv,mmstar_000022,test,mmstar,64,True,True,blur|irrelevant,True,False,False,False,False,False,0111,128,True
fastv,mmstar_000022,test,mmstar,128,True,True,blur|irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000022,test,mmstar,256,True,True,blur|irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000022,test,mmstar,432,True,True,blur|irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000023,test,mmstar,64,False,True,gray|blur|irrelevant,True,False,False,False,False,,0001,432,True
fastv,mmstar_000023,test,mmstar,128,False,True,gray|blur|irrelevant,True,False,False,False,False,,0001,432,True
fastv,mmstar_000023,test,mmstar,256,False,True,gray|blur|irrelevant,True,False,False,False,False,,0001,432,True
fastv,mmstar_000023,test,mmstar,432,False,True,gray|blur|irrelevant,True,True,True,True,True,,0001,432,True
fastv,mmstar_000034,validation,mmstar,64,False,True,gray|irrelevant,False,False,True,False,False,,0001,432,True
fastv,mmstar_000034,validation,mmstar,128,False,True,gray|irrelevant,False,False,True,False,False,,0001,432,True
fastv,mmstar_000034,validation,mmstar,256,False,True,gray|irrelevant,False,False,True,False,False,,0001,432,True
fastv,mmstar_000034,validation,mmstar,432,False,True,gray|irrelevant,True,True,True,True,True,,0001,432,True
fastv,mmstar_000035,test,mmstar,64,True,True,irrelevant,False,True,False,False,False,False,0111,128,True
fastv,mmstar_000035,test,mmstar,128,True,True,irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000035,test,mmstar,256,True,True,irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000035,test,mmstar,432,True,True,irrelevant,True,True,True,True,True,True,0111,128,True
fastv,mmstar_000040,test,mmstar,64,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000040,test,mmstar,128,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000040,test,mmstar,256,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000040,test,mmstar,432,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000042,test,mmstar,64,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000042,test,mmstar,128,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000042,test,mmstar,256,True,False,,True,True,True,True,True,,1111,64,True
