dataset,dense_gpu_energy_joule,gpu_energy_joule,latency_ms,method,model,provenance,sample_id,seed,selected_budget,supported_correct,task_correct,unsafe_acceptance
pope_popular,19.697034606933595,13.70293653011322,96.61040600622073,fastv,7b,development,pope_popular_000502,2101,432,True,True,False
visual_counterfact_size,22.517462134361267,16.145328998565674,92.44344900071155,fastv,7b,prospective,visual_counterfact_size_000657,2101,dense,True,True,False
pope_adversarial,26.29942813396454,18.014920706748963,96.38201899360865,fastv,7b,prospective,pope_adversarial_002894,2101,432,True,True,False
pope_adversarial,31.3794100522995,19.8071279668808,92.60112700576428,fastv,7b,development,pope_adversarial_000419,2101,432,False,True,False
visual_counterfact_size,40.31047733783723,28.11626732587814,118.64165200677235,fastv,7b,prospective,visual_counterfact_size_000325,2101,dense,True,True,False
pope_adversarial,32.63905189037323,28.94768262863159,107.39732699585147,fastv,7b,prospective,pope_adversarial_002029,2101,432,False,True,False
pope_adversarial,31.60006404876709,29.64957447528839,91.81030599575024,fastv,7b,prospective,pope_adversarial_000781,2101,432,False,True,False
pope_adversarial,34.77466578841209,33.18907952308655,96.09950099547859,fastv,7b,prospective,pope_adversarial_001020,2101,432,True,True,False
pope_adversarial,31.86554884076119,37.28609911084175,96.63839699351229,fastv,7b,development,pope_adversarial_000028,2101,432,True,True,False
visual_counterfact_size,38.45964538335801,48.62844802737236,121.38421399868093,fastv,7b,prospective,visual_counterfact_size_000329,2101,dense,True,True,False
pope_random,32.85251096129417,38.71689077854157,93.72805598832201,fastv,7b,prospective,pope_random_002094,2101,432,False,False,False
mmstar,29.626811752319338,38.65442260146141,93.58438699564431,fastv,7b,development,mmstar_000146,2101,432,False,False,False
visual_counterfact_color,34.53634873867035,41.89793264865875,106.07528999389615,fastv,7b,development,visual_counterfact_color_000257,2101,432,True,True,False
pope_popular,32.15617754340172,36.1097436439991,91.52062899374869,fastv,7b,prospective,pope_popular_001644,2101,432,True,True,False
visual_counterfact_size,37.95271597981453,36.4083972465992,102.04667098878417,fastv,7b,prospective,visual_counterfact_size_000050,2101,dense,False,False,False
mmstar,31.30617815494537,26.579770624637604,91.57089798827656,fastv,7b,prospective,mmstar_000131,2101,dense,True,True,False
pope_random,37.47441231608391,23.140357865095137,97.5014980067499,fastv,7b,development,pope_random_000355,2101,432,False,True,False
visual_counterfact_color,35.76227766275406,20.716436952352524,90.03207299974747,fastv,7b,development,visual_counterfact_color_000268,2101,432,True,True,False
mmstar,40.730680865049365,17.988433748483658,98.54445699602365,fastv,7b,development,mmstar_001053,2101,432,False,True,False
mmstar,86.64869023084641,36.16873996257782,206.66458600317128,fastv,7b,development,mmstar_001013,2101,432,False,False,False
pope_adversarial,35.46394041180611,15.867333755493163,92.32147999864537,fastv,7b,development,pope_adversarial_000411,2101,432,False,True,False
pope_adversarial,35.65301059961319,15.612848174571992,88.54836899263319,fastv,7b,development,pope_adversarial_000608,2101,432,True,True,False
visual_counterfact_color,37.4135545539856,16.131278014183046,91.24418099236209,fastv,7b,prospective,visual_counterfact_color_000382,2101,432,True,True,False
mmstar,35.63547296524048,16.68810531616211,92.73808599391486,fastv,7b,development,mmstar_000610,2101,dense,False,False,False
mmstar,35.27631806135178,15.983135089874267,88.75499699206557,fastv,7b,development,mmstar_000249,2101,dense,True,True,False
pope_popular,35.40169712424279,17.080111026763916,88.69137699366547,fastv,7b,prospective,pope_popular_000888,2101,432,True,True,False
pope_random,35.11716480970383,18.797319412231445,97.61830698698759,fastv,7b,prospective,pope_random_002894,2101,432,True,True,False
visual_counterfact_color,43.218842087984086,19.651783645153046,110.4921549995197,fastv,7b,development,visual_counterfact_color_000100,2101,432,True,True,False
