cell,model,method,configuration,feature_groups,feature_count,fold,n,unsafe_acceptance_count,unsafe_acceptance_rate,dense_avoidance_rate
7b_fastv,7b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,0,394,11,0.027918781725888325,1.0
7b_fastv,7b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,1,202,24,0.1188118811881188,0.995049504950495
7b_fastv,7b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,2,202,6,0.0297029702970297,0.6237623762376238
7b_fastv,7b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,3,201,5,0.024875621890547265,0.582089552238806
7b_fastv,7b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,4,201,1,0.004975124378109453,0.23383084577114427
7b_fastv,7b,fastv,A1_structure_only,question_structure,4,0,394,0,0.0,0.0
7b_fastv,7b,fastv,A1_structure_only,question_structure,4,1,202,25,0.12376237623762376,1.0
7b_fastv,7b,fastv,A1_structure_only,question_structure,4,2,202,9,0.04455445544554455,1.0
7b_fastv,7b,fastv,A1_structure_only,question_structure,4,3,201,10,0.04975124378109453,1.0
7b_fastv,7b,fastv,A1_structure_only,question_structure,4,4,201,3,0.014925373134328358,0.9402985074626866
7b_fastv,7b,fastv,A2_task_only,task_source,6,0,394,16,0.04060913705583756,1.0
7b_fastv,7b,fastv,A2_task_only,task_source,6,1,202,25,0.12376237623762376,1.0
7b_fastv,7b,fastv,A2_task_only,task_source,6,2,202,2,0.009900990099009901,0.3465346534653465
7b_fastv,7b,fastv,A2_task_only,task_source,6,3,201,3,0.014925373134328358,0.3034825870646766
7b_fastv,7b,fastv,A2_task_only,task_source,6,4,201,1,0.004975124378109453,0.373134328358209
7b_fastv,7b,fastv,A3_keywords_only,semantic_keywords,7,0,394,4,0.01015228426395939,1.0
7b_fastv,7b,fastv,A3_keywords_only,semantic_keywords,7,1,202,25,0.12376237623762376,1.0
7b_fastv,7b,fastv,A3_keywords_only,semantic_keywords,7,2,202,5,0.024752475247524754,0.6336633663366337
7b_fastv,7b,fastv,A3_keywords_only,semantic_keywords,7,3,201,8,0.03980099502487562,0.6417910447761194
7b_fastv,7b,fastv,A3_keywords_only,semantic_keywords,7,4,201,4,0.01990049751243781,0.6567164179104478
7b_fastv,7b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,0,394,0,0.0,0.0
7b_fastv,7b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,1,202,25,0.12376237623762376,1.0
7b_fastv,7b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,2,202,5,0.024752475247524754,0.45544554455445546
7b_fastv,7b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,3,201,10,0.04975124378109453,0.7064676616915423
7b_fastv,7b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,4,201,2,0.009950248756218905,0.31840796019900497
