cell,model,method,configuration,feature_groups,feature_count,action,count
7b_fastv,7b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,64,1
7b_fastv,7b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,128,1
7b_fastv,7b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,256,237
7b_fastv,7b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,432,646
7b_fastv,7b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,dense,315
7b_fastv,7b,fastv,A1_structure_only,question_structure,4,64,0
7b_fastv,7b,fastv,A1_structure_only,question_structure,4,128,0
7b_fastv,7b,fastv,A1_structure_only,question_structure,4,256,5
7b_fastv,7b,fastv,A1_structure_only,question_structure,4,432,789
7b_fastv,7b,fastv,A1_structure_only,question_structure,4,dense,406
7b_fastv,7b,fastv,A2_task_only,task_source,6,64,0
7b_fastv,7b,fastv,A2_task_only,task_source,6,128,0
7b_fastv,7b,fastv,A2_task_only,task_source,6,256,394
7b_fastv,7b,fastv,A2_task_only,task_source,6,432,408
7b_fastv,7b,fastv,A2_task_only,task_source,6,dense,398
7b_fastv,7b,fastv,A3_keywords_only,semantic_keywords,7,64,4
7b_fastv,7b,fastv,A3_keywords_only,semantic_keywords,7,128,7
7b_fastv,7b,fastv,A3_keywords_only,semantic_keywords,7,256,28
7b_fastv,7b,fastv,A3_keywords_only,semantic_keywords,7,432,946
7b_fastv,7b,fastv,A3_keywords_only,semantic_keywords,7,dense,215
7b_fastv,7b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,64,6
7b_fastv,7b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,128,7
7b_fastv,7b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,256,38
7b_fastv,7b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,432,449
7b_fastv,7b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,dense,700
7b_fastv,7b,fastv,A5_full_minus_keywords,question_structure+task_source,10,64,0
7b_fastv,7b,fastv,A5_full_minus_keywords,question_structure+task_source,10,128,0
7b_fastv,7b,fastv,A5_full_minus_keywords,question_structure+task_source,10,256,362
7b_fastv,7b,fastv,A5_full_minus_keywords,question_structure+task_source,10,432,517
7b_fastv,7b,fastv,A5_full_minus_keywords,question_structure+task_source,10,dense,321
7b_fastv,7b,fastv,A6_intercept_only,intercept_only,0,64,0
7b_fastv,7b,fastv,A6_intercept_only,intercept_only,0,128,0
7b_fastv,7b,fastv,A6_intercept_only,intercept_only,0,256,0
7b_fastv,7b,fastv,A6_intercept_only,intercept_only,0,432,605
7b_fastv,7b,fastv,A6_intercept_only,intercept_only,0,dense,595
7b_scope,7b,scope,A0_full,question_structure+task_source+semantic_keywords,17,64,0
7b_scope,7b,scope,A0_full,question_structure+task_source+semantic_keywords,17,128,0
7b_scope,7b,scope,A0_full,question_structure+task_source+semantic_keywords,17,256,5
7b_scope,7b,scope,A0_full,question_structure+task_source+semantic_keywords,17,432,232
7b_scope,7b,scope,A0_full,question_structure+task_source+semantic_keywords,17,dense,963
7b_scope,7b,scope,A1_structure_only,question_structure,4,64,0
7b_scope,7b,scope,A1_structure_only,question_structure,4,128,0
7b_scope,7b,scope,A1_structure_only,question_structure,4,256,0
7b_scope,7b,scope,A1_structure_only,question_structure,4,432,0
7b_scope,7b,scope,A1_structure_only,question_structure,4,dense,1200
7b_scope,7b,scope,A2_task_only,task_source,6,64,0
7b_scope,7b,scope,A2_task_only,task_source,6,128,0
7b_scope,7b,scope,A2_task_only,task_source,6,256,268
